"NYC_extract.DBA","NYC_extract.TripAdvisor.URL","NYC_extract.INSPECTION.DATE","NYC_extract.VIOLATION.DESCRIPTION","NYC_extract.SCORE","NYC_extract.GRADE","NYC_initial.Latitude","NYC_initial.Longitude","NYC_list_URL_final$NYC_extract.DBA"
"946","NOEL'S PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d15170724-Reviews-Noel_s_Pizza-New_York_City_New_York.html","11/02/2016","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",14,"",40.786901460675,-73.942033264835,"NOEL'S PIZZA"
"17922","WEST SIDE STEAKHOUSE","https://www.tripadvisor.com/Restaurant_Review-g60763-d1973314-Reviews-West_Side_Steakhouse-New_York_City_New_York.html","06/06/2017","Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",13,"A",40.764324766383,-73.958543269375,"WEST SIDE STEAKHOUSE"
"19584","BAKER'S PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d19298588-Reviews-Baker_s_Pizza-New_York_City_New_York.html","03/07/2017","Hot food item not held at or above 140Âº F.",24,"",40.764256886043,-73.982997126841,"BAKER'S PIZZA"
"19791","PEE DEE","https://www.tripadvisor.com/Restaurant_Review-g60763-d5101606-Reviews-Pee_Dee_Steak_House-New_York_City_New_York.html","04/07/2017","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",27,"",40.78551032674,-73.972895018486,"PEE DEE"
"19956","ABITINO'S PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d425435-Reviews-Abitino_s_Pizzeria-New_York_City_New_York.html","04/07/2017","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",31,"",40.743826151871,-73.999556112616,"ABITINO'S PIZZA"
"23528","NEW YORK PIZZA SUPREMA","https://www.tripadvisor.com/Restaurant_Review-g60763-d2409563-Reviews-NY_Pizza_Suprema-New_York_City_New_York.html","08/08/2017","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",11,"A",40.714838403799,-74.008015342742,"NEW YORK PIZZA SUPREMA"
"27280","NUMERO 28 PIZZERIA","https://www.tripadvisor.com/Restaurant_Review-g60763-d1072874-Reviews-Numero_28_Pizzeria-New_York_City_New_York.html","01/10/2017","Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",26,"",40.759791039418,-73.982171647892,"NUMERO 28 PIZZERIA"
"28390","JOHN'S OF 12TH STREET","https://www.tripadvisor.com/Restaurant_Review-g60763-d492818-Reviews-John_s_of_Bleecker_Street-New_York_City_New_York.html","05/30/2019","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10,"A",40.730839761838,-73.985524164309,"JOHN'S OF 12TH STREET"
"32694","MARIELLA PIZZA","https://www.tripadvisor.com/Restaurant_Review-g60763-d4244827-Reviews-Mariella_Pizza-New_York_City_New_York.html","12/11/2017","Evidence of mice or live mice present in facility's food and/or non-food areas.",9,"A",40.734334591832,-73.993772031951,"MARIELLA PIZZA"
"48120","KESTE PIZZA & VINO","https://www.tripadvisor.com/Restaurant_Review-g60763-d1450822-Reviews-Keste_Pizza_Vino-New_York_City_New_York.html","09/04/2018","Accurate thermometer not provided in refrigerated or hot holding equipment.",10,"A",40.757357634315,-73.993416132521,"KESTE PIZZA & VINO"
