restaurant,url,inspection_date,violation_desc,score,grade,lat,long,mean_rating_before,mean_rating_after
NOEL'S PIZZA,https://www.tripadvisor.com/Restaurant_Review-g60763-d15170724-Reviews-Noel_s_Pizza-New_York_City_New_York.html,2016-11-02,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,14,,40.786901460675004,-73.94203326483499,,3.0
WEST SIDE STEAKHOUSE,https://www.tripadvisor.com/Restaurant_Review-g60763-d1973314-Reviews-West_Side_Steakhouse-New_York_City_New_York.html,2017-06-06,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",13,A,40.764324766383,-73.958543269375,4.308641975308642,4.478260869565218
BAKER'S PIZZA,https://www.tripadvisor.com/Restaurant_Review-g60763-d19298588-Reviews-Baker_s_Pizza-New_York_City_New_York.html,2017-03-07,Hot food item not held at or above 140Âº F.,24,,40.764256886043,-73.982997126841,,
PEE DEE,https://www.tripadvisor.com/Restaurant_Review-g60763-d5101606-Reviews-Pee_Dee_Steak_House-New_York_City_New_York.html,2017-04-07,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,27,,40.78551032674,-73.972895018486,4.4,4.75
ABITINO'S PIZZA,https://www.tripadvisor.com/Restaurant_Review-g60763-d425435-Reviews-Abitino_s_Pizzeria-New_York_City_New_York.html,2017-04-07,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,31,,40.743826151871,-73.99955611261599,4.130434782608695,3.125
NEW YORK PIZZA SUPREMA,https://www.tripadvisor.com/Restaurant_Review-g60763-d2409563-Reviews-NY_Pizza_Suprema-New_York_City_New_York.html,2017-08-08,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,11,A,40.714838403799,-74.008015342742,,4.626666666666667
NUMERO 28 PIZZERIA,https://www.tripadvisor.com/Restaurant_Review-g60763-d1072874-Reviews-Numero_28_Pizzeria-New_York_City_New_York.html,2017-01-10,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",26,,40.759791039418,-73.982171647892,4.511551155115511,4.60117302052786
JOHN'S OF 12TH STREET,https://www.tripadvisor.com/Restaurant_Review-g60763-d492818-Reviews-John_s_of_Bleecker_Street-New_York_City_New_York.html,2019-05-30,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,10,A,40.730839761838006,-73.985524164309,4.397341211225997,4.564705882352941
MARIELLA PIZZA,https://www.tripadvisor.com/Restaurant_Review-g60763-d4244827-Reviews-Mariella_Pizza-New_York_City_New_York.html,2017-12-11,Evidence of mice or live mice present in facility's food and/or non-food areas.,9,A,40.734334591831995,-73.993772031951,4.363636363636363,4.333333333333333
KESTE PIZZA & VINO,https://www.tripadvisor.com/Restaurant_Review-g60763-d1450822-Reviews-Keste_Pizza_Vino-New_York_City_New_York.html,2018-09-04,Accurate thermometer not provided in refrigerated or hot holding equipment.,10,A,40.757357634315,-73.993416132521,4.536953242835596,4.6415094339622645
LUNETTA PIZZA,https://www.tripadvisor.com/Restaurant_Review-g60763-d5012906-Reviews-Lunetta_Pizza-New_York_City_New_York.html,2018-10-04,Hot food item not held at or above 140Âº F.,13,A,40.754070591808,-73.979935358214,4.214285714285714,4.6
HARD ROCK CAFE,https://www.tripadvisor.com/Restaurant_Review-g60763-d802686-Reviews-Hard_Rock_Cafe-New_York_City_New_York.html,2018-09-18,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",12,A,40.757096240500005,-73.986193424352,3.8044511127781946,3.6432637571157493
99 CENTS PIZZA & FRIES,https://www.tripadvisor.com/Restaurant_Review-g60763-d1450822-Reviews-Keste_Pizza_Vino-New_York_City_New_York.html,2018-01-08,Accurate thermometer not provided in refrigerated or hot holding equipment.,2,,40.746150736646,-73.992742367502,4.25,
BARILLA RESTAURANTS,https://www.tripadvisor.com/Restaurant_Review-g60763-d5617483-Reviews-Casa_Barilla-New_York_City_New_York.html,2018-08-03,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,13,A,40.760850108553,-73.979716722068,4.057906458797327,4.1940298507462686
CIAO BELLA,https://www.tripadvisor.com/Restaurant_Review-g60763-d3617715-Reviews-Ciao_Bella-New_York_City_New_York.html,2019-11-01,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",13,A,40.715618084742,-74.00510073254699,4.594594594594595,4.333333333333333
DEL FRISCO'S STEAKHOUSE,https://www.tripadvisor.com/Restaurant_Review-g60763-d457151-Reviews-Del_Frisco_s_Double_Eagle_Steakhouse-New_York_City_New_York.html,2019-11-01,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,13,A,40.706617674088996,-74.009875468765,4.45196003074558,4.245614035087719
OLGA'S PIZZA,couldnt find - repeated,2019-11-01,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,19,,40.754660115073,-73.976755272267,,
FAMOUS JOE'S PIZZA,https://www.tripadvisor.com/Restaurant_Review-g60763-d4091023-Reviews-Joe_s_Pizza-New_York_City_New_York.html,2019-11-01,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",12,A,40.791853227041,-73.971978728216,4.528189910979228,4.423076923076923
THE GROTTO,https://www.tripadvisor.com/Restaurant_Review-g60763-d533381-Reviews-Grotto_Pizzeria_and_Restaurant-New_York_City_New_York.html,2019-01-02,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10,A,40.750753089864,-73.986108122854,4.392156862745098,4.75
ROSELLA'S PIZZERIA,https://www.tripadvisor.com/Restaurant_Review-g60763-d3734891-Reviews-Rosella_s_Pizzeria-New_York_City_New_York.html,2019-01-02,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,12,A,40.762687265522,-73.985798785463,4.444444444444445,4.8
UNCLE MARIO'S,https://www.tripadvisor.com/Restaurant_Review-g60763-d2397371-Reviews-Uncle_Mario_s-New_York_City_New_York.html,2019-01-02,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",33,C,40.763669458261,-73.982665164748,3.927392739273927,4.088235294117647
F & M 99 CENTS PIZZA,https://www.tripadvisor.com/Restaurant_Review-g60763-d4558437-Reviews-F_F_99_Cent_Slice_Pizza-New_York_City_New_York.html,2019-01-02,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",3,A,40.811085101951,-73.953333702737,5.0,5.0
P & M CLASSIC PIZZA & RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g60763-d4659212-Reviews-P_M_Pizza_Restaurant-New_York_City_New_York.html,2019-04-02,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",9,A,40.742000851027,-73.997181573069,3.5,
FAMOUS ORIGINAL RAY'S PIZZA,https://www.tripadvisor.com/Restaurant_Review-g60763-d3716955-Reviews-Famous_Original_Ray_s_Pizza-New_York_City_New_York.html,2019-04-02,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,27,,40.777161524498,-73.95727151772101,3.8,5.0
FRESCOS PIZZERIA,https://www.tripadvisor.com/Restaurant_Review-g60763-d15166627-Reviews-Fresco_s_Pizzeria-New_York_City_New_York.html,2019-04-02,Hot food item not held at or above 140Âº F.,17,,40.750509164766996,-73.989479170444,,
